description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Set in French Indochina during the politically turbulent 1930s, Regis Wargnier's film stars Catherine Deneuve as a plantation owner who becomes involved in a torrid love triangle between a handsome French soldier (Vincent Prez) and her beloved adopted Asian daughter (Linh Dam Phan). Won an Oscar for Best Foreign Film.
            ","PG-13
                    ",Rgis Wargnier,NA,NA,Rgis Wargnier,Catherine Cohen,Erik Orsenna,Louis Gardel,"Jun 1, 1992
                        ","Mar 21, 2000
                        ","
                            156 minutes
                        ","
                        Sony Pictures Home Entertainment
                    ","
                Catherine Deneuve
            ","
                Vincent Perez
            ","
                Linh Dan Pham
            ","
                Jean Yanne
            ","
                Dominique Blanc
            ","
                Henri Marteau
            ","
                                Indochine
                            ",1992,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",72,18,84,6,141753,6.34,7.5,2,4.05,1079,202,627,https://www.rottentomatoes.com/m/indochine
"
                Set in the mid 1960s, this drama follows the difficult relationship between a woman afflicted with multiple sclerosis, her husband -- a prep school teacher -- and one of his students. The story begins as Helen dreams of flying and reaching for something she cannot quite see. She is married to Bill, a loving but rather stern fellow. When not coping with her illness and trying to raise their two children, Helen tutors a student, the idealistic Dave, who though intelligent, does not work hard in school. Dave is secretly infatuated with Helen and dislikes her husband both as a teacher and romantic rival. Meanwhile, Helen continues to feel herself leaving her body at night. This feeling persists until she falls into a coma. Meanwhile Bill and Dave clash over her, not realizing that while her body is inert, her mind and spirit are very much aware of their struggle.
            ","R
                    ",Howard Goldberg,NA,NA,Howard Goldberg,NA,NA,NA,"Mar 27, 1998
                        ","Dec 7, 1999
                        ","
                            106 minutes
                        ","
                        The Match Factory
                    ","
                Joanna Going
            ","
                Dylan Walsh
            ","
                Sean Patrick Flanery
            ","
                Sean Christensen
            ","
                Edward O'Blenis Jr.
            ","
                Stephen Lennstrom
            ","
                                Eden
                            ",1998,No consensus yet.,"
                        
                        Drama, 
                        
                        Romance
                        
                    ",50,12,59,537,132904,4.74,3.57,5,3.27,23,16,61,https://www.rottentomatoes.com/m/eden_1998
"
                A traveling saleswoman, who sells cheap art to small companies and motels, has a fling with an aimless, underachieving motel manager who then pursues her all over the United States.
            ","R (for language)
                    ",Stephen Belber,NA,NA,Stephen Belber,NA,NA,NA,"May 15, 2009
                        ","Sep 29, 2009
                        ","
                            93 minutes
                        ","
                        IDP/Samuel goldwyn Films
                    ","
                Jennifer Aniston
            ","
                Steve Zahn
            ","
                Woody Harrelson
            ","
                Fred Ward
            ","
                Margo Martindale
            ","
                James Hiroyuki Liao
            ","
                                Management
                            ",2009,Clever and often beguiling performances by Steve Zahn and Jennifer Aniston can't revive this sweetly misguided stalker romance.,"
                        
                        Comedy, 
                        
                        Romance
                        
                    ",47,97,30,62,141016,5.3,5.18,39,2.76,1022,2401,15772,https://www.rottentomatoes.com/m/management
"
                One of director Douglas Sirk's best and most successful romantic soapers of the 1950s, All That Heaven Allows is predicated on a May-December romance. The difference here is that the woman, attractive widow Cary Scott (Jane Wyman), is considerably older than the man, handsome gardener-landscaper Ron Kirby (Rock Hudson). Sirk builds up sympathy for Cary by showing how empty her life has been since her husband's death, even suggesting that the marriage itself was no picnic. Throwing conventionial behavior to the winds and facing social ostracism, Cary pursues her romance with Ron, who is unjustly perceived as a fortune-hunter by Cary's friends and family--especially her priggish son Ned (William Reynolds). Amusingly, Conrad Nagel was to have had a much larger part as Harvey, an elderly widower who carries a torch for Cary, but his role was trimmed down during previews when audiences disapproved of an implicit romance between a sixtyish man and a fortysomething woman! All That Heaven Allows was remade by unabashed Douglas Sirk admirer Rainer Werner Fassbinder as Ali--Fear Eats the Soul (1974), in which the age gap between hero and heroine was even wider. ~ Hal Erickson, Rovi
            ","NR
                    ",Douglas Sirk,NA,NA,Douglas Sirk,Peg Fenwick,Edna L. Lee,Peggy Fenwick,"Dec 9, 1955
                        ","Jun 19, 2001
                        ","
                            89 minutes
                        ","
                        Universal
                    ","
                Jane Wyman
            ","
                Rock Hudson
            ","
                Conrad Nagel
            ","
                Agnes Moorehead
            ","
                Virginia Grey
            ","
                Gloria Talbott
            ","
                                All That Heaven Allows
                            ",1955,"Big heart, big drama, and even bigger colors, All That Heaven Allows is tip top Douglas Sirk.","
                        
                        Classics, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",90,30,80,5,134970,7.69,5.38,4,3.93,833,202,726,https://www.rottentomatoes.com/m/all_that_heaven_allows
"
                Based on a popular off-Broadway play by Terrence McNally, this drama chronicles the bittersweet romance between an ex-con who gets a job slinging hash at a local greasy spoon and the misanthropic plain-Jane waitress who works there.
            ","R (adult situations/language)
                    ",Garry Marshall,NA,NA,Terrence McNally,NA,NA,NA,"Oct 11, 1991
                        ","Dec 4, 2001
                        ","
                            117 minutes
                        ","
                        Paramount Home Video
                    ","
                Al Pacino
            ","
                Michelle Pfeiffer
            ","
                Hector Elizondo
            ","
                Nathan Lane
            ","
                Kate Nelligan
            ","
                Jane Morris
            ","
                                Frankie & Johnny
                            ",1991,No consensus yet.,"
                        
                        Comedy, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",66,29,67,21,133491,6.63,6.69,10,3.69,1602,776,2420,https://www.rottentomatoes.com/m/1037161-frankie_and_johnny
"
                A teenage girl learns about love, adult responsibility, and how to do The Dirty Boogie in this romantic drama. In 1963, ""Baby"" Houseman (Jennifer Grey) is a 17-year-old spending the summer with her family at a resort hotel in the Catskills; she plans on being in the Peace Corps next summer, so this is expected to be her last summer as a carefree adolescent. Baby doesn't get along with her older sister, Lisa (Jane Brucker), and she's bored to tears by most of the older guests at the resort. However, one night Baby hears what sounds like a party going on in the employee's dormitory, and she pokes her head in to discover most of the hotel staff enjoying the sort of close dancing that would get you kicked out of the senior prom in no time flat. Baby is particularly struck by handsome Johnny Castle (Patrick Swayze), a dancer in the resort's floor show, and falls head over heels in love, wanting to be near him. When Johnny's dance partner, Penny (Cynthia Rhodes), finds herself pregnant after a fling with one of the waiters, Baby volunteers to learn her steps and take her place; however, Baby's father, Dr. Jake Houseman (Jerry Orbach), will have none of it, convinced that Johnny is a low life and that his daughter is too young to understand her own feelings. Dirty Dancing was a surprise box-office hit, and the soundtrack album was an even bigger success, spawning several hit singles and inspiring a top-drawing concert tour featuring several of its artists. ~ Mark Deming, Rovi
            ","PG-13 (adult situations/language)
                    ",Emile Ardolino,NA,NA,Emile Ardolino,Eleanor Bergstein,NA,NA,"Aug 21, 1987
                        ","Aug 19, 1997
                        ","
                            105 minutes
                        ","
                        Vestron Pictures
                    ","
                Jennifer Grey
            ","
                Patrick Swayze
            ","
                Jerry Orbach
            ","
                Cynthia Rhodes
            ","
                Jack Weston
            ","
                Jane Brucker
            ","
                                Dirty Dancing
                            ",1987,"Like its winsome characters, Dirty Dancing uses impressive choreography and the power of song to surmount a series of formidable obstacles.","
                        
                        Drama, 
                        
                        Musical & Performing Arts, 
                        
                        Romance
                        
                    ",69,67,90,1,135418,5.98,6.52,15,4.44,93575,10140,62707,https://www.rottentomatoes.com/m/dirty_dancing
"
                This bittersweet romance follows the relationship between a middle-aged couple whose meet when the recently widowed and still-grieving woman (Jane Fonda) offers to teach a lonely co-worker (Robert De Niro) how to read.
            ","PG-13 (adult situations/language)
                    ",Martin Ritt,NA,NA,Irving Ravetch,Harriet Frank,Harriet Frank Jr. / Irving Ravetch,NA,"Feb 9, 1990
                        ","Jan 13, 2004
                        ","
                            107 minutes
                        ","
                        MGM Home Entertainment
                    ","
                Jane Fonda
            ","
                Robert De Niro
            ","
                Swoosie Kurtz
            ","
                Martha Plimpton
            ","
                Harley Cross
            ","
                Jamey Sheridan
            ",Stanley & Iris,NA,No consensus yet.,"
                        
                        Drama, 
                        
                        Romance
                        
                    ",33,15,49,3,131990,4.28,3.2,5,3.31,148,158,417,https://www.rottentomatoes.com/m/stanley_and_iris
"
                Empires fall, love survives. When Michael (Oscar Isaac), a brilliant medical student, meets Ana (Charlotte Le Bon), their shared Armenian heritage sparks an attraction that explodes into a romantic rivalry between Michael and Ana's boyfriend Chris (Christian Bale), a famous American photojournalist dedicated to exposing political truth. As the Ottoman Empire crumbles into war-torn chaos, their conflicting passions must be deferred while they join forces to get their people to safety and survive themselves. The Promise is directed by Academy Award winning filmmaker Terry George.
            ","PG-13 (for thematic material including war attrocities, violence and disturbing images, and some sexuality)
                    ",Terry George,NA,NA,Terry George,Robin Swicord,NA,NA,"Apr 21, 2017
                        ","Jul 18, 2017
                        ","
                            134 minutes
                        ","
                        Open Road Films
                    ","
                Oscar Isaac
            ","
                Christian Bale
            ","
                Charlotte Le Bon
            ","
                Daniel Gimnez Cacho
            ","
                Shohreh Aghdashloo
            ","
                Abel Folk
            ",The Promise,NA,The Promise wastes an outstanding cast and powerful real-life story on a love triangle that frustratingly fails to engage.,"
                        
                        Drama, 
                        
                        Romance
                        
                    ",50,159,92,11,139832,5.66,5.59,36,4.63,5369,480,4262,https://www.rottentomatoes.com/m/the_promise_2017
"
                The feature-film debut of famed director Louis Malle is an interesting, modern film noir with the classic theme of lovers plotting to kill the husband and make it look like suicide (reminiscent of The Postman Always Rings Twice). Jeanne Moreau, as Florence Carala, gives an astonishing performance, perverse but naive as she leads her young lover down a path that can only lead to doom for both of them. Malle and his cinematographer Henri Decae make extensive use of Paris at night, giving the film the feel of claustrophobia and desperation reminiscent of the classic noir films. The excellent score by Miles Davis adds to the entire effect of this mystery thriller. ~ Linda Rasmussen, Rovi
            ","NR
                    ",Louis Malle,NA,NA,Louis Malle,NA,NA,NA,"Jun 24, 1958
                        ","Apr 25, 2006
                        ","
                            92 minutes
                        ","
                        Rialto Pictures
                    ","
                Maurice Ronet
            ","
                Jeanne Moreau
            ","
                Jean Wall
            ","
                Georges Poujouly
            ","
                Flix Marten
            ","
                Lino Ventura
            ",Elevator to the Gallows (Ascenseur pour l'chafaud),NA,"Louis Malle's hypnotic debut is a noir with genuine soul, infusing its tale of best laid plans gone awry with wistful performances, swooning cinematography, and a sultry soundtrack.","
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Mystery & Suspense, 
                        
                        Romance
                        
                    ",93,57,91,6,132231,8.08,8.18,25,4.22,1369,137,1044,https://www.rottentomatoes.com/m/elevator_to_the_gallows
"
                They're married for bitter or worse - until a technicality renders the union void. But now Mr. misses Mrs. and he's desperate to win her back. A rare and delightful foray into screwball comedy from suspense master Hitchcock.
            ","NR
                    ",Alfred Hitchcock,NA,NA,Norman Krasna,NA,NA,NA,"Jan 31, 1941
                        ","Sep 7, 2004
                        ","
                            95 minutes
                        ","
                        RKO Radio Pictures
                    ","
                Carole Lombard
            ","
                Robert Montgomery
            ","
                Gene Raymond
            ","
                Jack Carson
            ","
                Philip Merivale
            ","
                Lucile Watson
            ","
                                Mr. & Mrs. Smith
                            ",1941,No consensus yet.,"
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Romance
                        
                    ",67,21,48,4,134000,5.74,5.75,5,3.22,339,360,1016,https://www.rottentomatoes.com/m/1014325-mr_and_mrs_smith
