description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                The screeching strings, the plunging knife, the slow zoom out from a lifeless eyeball: in 1960, Alfred Hitchcock's Psycho changed film history forever with its taboo-shattering shower scene. With 78 camera set-ups and 52 edits over the course of 3 minutes, Psycho redefined screen violence, set the stage for decades of slasher films to come, and introduced a new element of danger to the moviegoing experience. Aided by a roster of filmmakers, critics, and fans--including Guillermo del Toro, Bret Easton Ellis, Jamie Lee Curtis, Eli Roth, and Peter Bogdanovich--director Alexandre O. Philippe pulls back the curtain on the making and influence of this cinematic game changer, breaking it down frame by frame and unpacking Hitchcock's dense web of allusions and double meanings. The result is an enthralling piece of cinematic detective work that's nirvana for film buffs.
            ","NR
                    ",Alexandre O. Philippe,NA,NA,Alexandre O. Philippe,NA,NA,NA,"Oct 13, 2017
                        ","Oct 13, 2017
                        ","
                            91 minutes
                        ","
                        IFC Films
                    ","
                Alfred Hitchcock
            ","
                Peter Bogdanovich
            ","
                Marli Renfro
            ","
                Jamie Lee Curtis
            ","
                Oz Perkins
            ","
                Karyn Kusama
            ",78/52: Hitchcock's Shower Scene,NA,"78/52: Hitchcock's Shower Scene takes a look at one of modern cinema's most memorable moments, offering insights of value to cineastes and casual viewers alike.","
                        
                        Documentary
                        
                    ",89,81,78,1,132584,7.08,7.02,19,3.76,91,25,883,https://www.rottentomatoes.com/m/7852_hitchcocks_shower_scene
"
                In this David and Goliath tale for the 21st Century, a group of proud Scottish homeowners take on Donald Trump, as the tycoon prepares to destroy one of Britain's last stretches of coastal wilderness by building a luxury golf resort. As the locals make their last stand in the face of security harassment, legal threats and the cutting off of water and electricity supplies, director Anthony Baxter is thrown in jail as he seeks out the truth. -- (C) Official Site
            ","NR
                    ",Anthony Baxter,NA,NA,Anthony Baxter,Richard Phinney,NA,NA,"Aug 3, 2012
                        ","Mar 11, 2013
                        ","
                            100 minutes
                        ","
                        International Film Circuit
                    ","
                Donald Trump
            ","
                Michael Forbes
            ","
                Molly Forbes
            ","
                Susan Munro
            ","
                Donald Trump Jr.
            ","
                Sarah Malone
            ","
                                You've Been Trumped
                            ",2012,No consensus yet.,"
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",85,34,72,1,140668,6.85,6.17,19,3.73,159,61,474,https://www.rottentomatoes.com/m/youve_been_trumped_2011
"
                A documentary about a group of strippers who create the only union of exotic dancers in the United States. Stripper/Comedian Julia Query takes the audience on a turbulent journey beginning with her decision to leave graduate school and start stripping, through the struggle to start the union, with the complication of telling her Jewish mother where she works!
            ","NR
                    ",Julia Query,Vicky Funari,NA,NA,NA,NA,NA,"Oct 6, 2000
                        ","Apr 23, 2002
                        ","
                            70 minutes
                        ","
                        First Run Features
                    ","
                Amnesia
            ","
                Lolita
            ","
                Vicky Funari
            ","
                Decadence
            ","
                Dr Joyce Wallace
            ","
                Stephanie Batey
            ",Live Nude Girls Unite!,NA,No consensus yet.,"
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",82,17,63,722,133020,7.11,7.25,4,3.78,52,31,185,https://www.rottentomatoes.com/m/live_nude_girls_unite
"
                ""We all get dressed for Bill,"" says Vogue editrix Anna Wintour. The ""Bill"" in question is 80+ New York Times photographer Bill Cunningham. For decades, this Schwinn-riding cultural anthropologist has been obsessively and inventively chronicling fashion trends and high society charity soires for the Times Style section in his columns ""On the Street"" and ""Evening Hours."" Documenting uptown fixtures (Wintour, Tom Wolfe, Brooke Astor, David Rockefeller-who all appear in the film out of their love for Bill), downtown eccentrics and everyone in between, Cunningham's enormous body of work is more reliable than any catwalk as an expression of time, place and individual flair. In turn, Bill Cunningham New York is a delicate, funny and often poignant portrait of a dedicated artist whose only wealth is his own humanity and unassuming grace. -- (C) Zeitgeist films
            ","NR
                    ",Richard Press,NA,NA,NA,NA,NA,NA,"Mar 16, 2011
                        ","Sep 19, 2011
                        ","
                            84 minutes
                        ","
                        Zeitgeist Films
                    ","
                Tom Wolfe
            ","
                Anna Wintour
            ","
                Carmen Dell'Orefice
            ","
                Kim Hastereiter
            ","
                Brooke Astor
            ","
                Annette De la Renta
            ","
                                Bill Cunningham New York
                            ",2011,"Suffused with happiness and modest charm, Bill Cunningham New York offers a touching, gently humorous portrait of its subject without invading his jealously guarded privacy.","
                        
                        Documentary, 
                        
                        Musical & Performing Arts
                        
                    ",99,73,92,4,138720,7.94,8.09,26,4.29,1332,122,1520,https://www.rottentomatoes.com/m/bill_cunningham_new_york_2010
"
                This is a profile of several New York City's public school kids and their journey into the world of ballroom dancing. The eleven-year-olds go from reluctantly participating in ballroom dancing to preparing to compete in the citywide finals.
            ","PG (for some thematic elements)
                    ",Marilyn Agrelo,NA,NA,Amy Sewell,NA,NA,NA,"May 20, 2005
                        ","Oct 18, 2005
                        ","
                            110 minutes
                        ","
                        Paramount Classics
                    ","
                Madeleine Hackney
            ","
                Wilson Castillo
            ","
                Rodney Lopez
            ","
                Alyssa Polack
            ","
                Victoria Malvagno
            ","
                Michelle Rodriguez
            ",Mad Hot Ballroom,NA,"This heartwarming documentary will win audiences over, as the sheer charm of precocious, enthusiastic children learning to dance resonates from the screen.","
                        
                        Documentary, 
                        
                        Kids & Family, 
                        
                        Musical & Performing Arts, 
                        
                        Special Interest
                        
                    ",84,121,83,8,141514,7.17,7.53,40,4.03,905,180,842,https://www.rottentomatoes.com/m/mad_hot_ballroom
"
                For his second documentary feature, Errol Morris originally set out to chronicle Vernon, FL, because it had the highest rate of a particular sort of insurance fraud -- dismemberment performed for profit -- than any other place in the country. Nothing of that original idea survives in the film itself. Instead, Morris seems perfectly content letting the camera roll in front of the other eccentrics he found there, using his trademark approach of simply letting his subjects do the talking themselves. Many of them exhibit unusually close relationships to animals, including a turtle keeper, a worm farmer, and most memorably, an extremely enthusiastic turkey hunter. Other highlights include a sermon offering a close reading on the significance of the word ""therefore"" and a couple with a jar of sand from White Sands, NM, that they insist, thanks to radiation, has begun to multiply.
            ","NR
                    ",Errol Morris,NA,NA,NA,NA,NA,NA,"Oct 8, 1981
                        ","Jul 26, 2005
                        ","
                            56 minutes
                        ","
                        WNET
                    ","
                George Harris
            ","
                Albert Bitterling
            ","
                Claude Register
            ","
                Snake Reynolds
            ","
                Henry Shipes
            ",NA,"
                                Vernon, Florida
                            ",1981,No consensus yet.,"
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",100,12,79,2,133928,8,0,0,3.96,335,90,253,https://www.rottentomatoes.com/m/vernon_florida
"
                Story of German New Wave rock star Klaus Nomi, one of the most profoundly bizarre characters to rise to fame in the 80s. In his short but eventful life, fame, friendship, betrayal, opera, performance and, tragically, death converge.
            ","NR
                    ",Andrew Horn,NA,NA,Andrew Horn,NA,NA,NA,"Feb 4, 2005
                        ","Jun 14, 2005
                        ","
                            96 minutes
                        ","
                        Palm Pictures
                    ","
                Klaus Nomi
            ","
                Klaus Nomi
            ","
                Ann Magnuson
            ","
                Gabriele La Fari
            ","
                Gabriele Le Fari
            ","
                David MacDermot
            ",The Nomi Song,NA,"A fascinating, if occasionally frustrating, documentary about Klaus Nomi, a cult figure in the New Wave Underground scene during the '80s.","
                        
                        Documentary, 
                        
                        Musical & Performing Arts, 
                        
                        Special Interest
                        
                    ",94,35,86,1,136765,7.23,7.4,15,4.04,147,24,116,https://www.rottentomatoes.com/m/nomi_song
"
                The beauty and mystery of life beneath the surface of the ocean is brought to the screen in this documentary, shot in 3-D and exhibited in the high-definition IMAX film format. Shot in the ocean depths off the coasts of Baja, the Caribbean, and North Carolina, Deep Sea depicts the complexity of the underwater ecosystem, as some sea creatures live in cooperation while others feed upon weaker species to survive. Filmmaker Howard Hall also focuses on the splendor of this world rarely seen by human eyes, photographing a number of rare species of fish, squids, manta rays, jellyfish, and other aquatic creatures, as well as offering a perspective on the environmental dangers that threaten the underwater community. Johnny Depp and Kate Winslet provide narration for the film. ~ Mark Deming, Rovi
            ","G
                    ",Howard Hall,NA,NA,Toni Myers,Graeme Ferguson,NA,NA,"Mar 3, 2006
                        ","Mar 27, 2007
                        ","
                            40 minutes
                        ","
                        Warner Bros. Pictures
                    ","
                Johnny Depp
            ","
                Kate Winslet
            ",NA,NA,NA,NA,Deep Sea 3D,NA,Viewers will welcome being whisked away to this magical world of exotic sea life.,"
                        
                        Animation, 
                        
                        Documentary, 
                        
                        Kids & Family, 
                        
                        Special Interest
                        
                    ",91,34,79,9,133965,7.66,7.23,15,3.97,483,133,3109,https://www.rottentomatoes.com/m/deep_sea_3d
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,,,,,,,,https://www.rottentomatoes.com/m/hh-holmes-americas-first-serial-killer
"
                Straddling a line between documentary and science fiction, Werner Herzog's Lektionen in Finsternis is an epic visual poem set in the burning oil fields of Kuwait following the 1990-1991 Persian Gulf War. Herzog, as much a daredevil as a documentarian, took his small crew in a helicopter and, floating above the fields, photographed jaw-dropping footage of the blazing, blackened landscape. Alternately horrific and majestic, the movie is a phantasmagoric, if distanced, catalog of horrors. Boiling lakes of crude oil, twisted scraps of melted metal, and ominous billows of smoke and fire abound. On the ground, the images are just as otherworldly. Herzog filmed scenes of firemen in full-body suits, working -- futilely it seems -- to contain the blaze. There are also a couple of interviews with Kuwaiti women, who talk heartbreakingly of the brutalities they suffered at the hands of Iraqi soldiers. In his voice-over narration, Herzog assumes the identity of a spectator from another planet, making bemused comments about the catastrophe with no attempt to inform the viewer of the factual circumstances behind it. His high-flown rhetoric, dense with mythical portent and allusiveness, underscores this visionary movie's detached view of the destruction of the Kuwaiti oil fields.
            ","NR
                    ",Werner Herzog,NA,NA,Werner Herzog,NA,NA,NA,"Oct 25, 1995
                        ","Jan 8, 2002
                        ","
                            50 minutes
                        ","
                        Canal+
                    ","
                Werner Herzog
            ",NA,NA,NA,NA,NA,Lessons of Darkness,NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Documentary
                        
                    ",100,10,92,2,132089,8,0,0,4.28,467,40,556,https://www.rottentomatoes.com/m/lessons_of_darkness_1995
"
                From Summit Entertainment, KEVIN HART: LET ME EXPLAIN captures the laughter, energy and mayhem from Hart's 2012 ""Let Me Explain"" concert tour, which spanned 10 countries and 80 cities, and generated over $32 million in ticket sales.
            ","R (for pervasive language including sexual references)
                    ",Leslie Small,Tim Story,NA,Kevin Hart,Joey Wells,Harry Ratchford,NA,"Jul 3, 2013
                        ","Oct 15, 2013
                        ","
                            75 minutes
                        ","
                        Summit Entertainment
                    ","
                Kevin Hart
            ",NA,NA,NA,NA,NA,Kevin Hart: Let Me Explain,NA,"It's ironically rather short on standup from Mr. Hart himself, but structural problems aside, Kevin Hart: Let Me Explain offers another example of why he's achieved mainstream success on his own terms.","
                        
                        Comedy, 
                        
                        Documentary, 
                        
                        Musical & Performing Arts
                        
                    ",61,44,72,31,135945,6.03,5.73,19,3.86,6157,2436,19827,https://www.rottentomatoes.com/m/kevin_hart_let_me_explain
