description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Loosely adapted from the classic 1932 horror film starring Boris Karloff, The Mummy is set in Egypt, where over 3,000 years ago the high priest Imhotep (played by Arnold Vosloo) was given the all-important assignment of preparing the recently dead for their journey into the afterlife. However, Imhotep made one terrible mistake - he became smitten with Anck-Su-Namun, the mistress of the Pharaoh himself. Driven mad by jealousy and love, Imhotep murdered the Pharaoh, and his punishment was to be buried alive and suffer the torment of an eternal life in his wretched tomb. In 1925, a band of adventurers seeking fame and fortune - led by Rick O'Connel (Brendan Fraser), an American expatriate who has joined the foreign legion, and Evelyn Carnarvon (Rachel Weisz), an amateur archeologist - find a previously unknown burial site in Egypt. The team starts to dig, hoping to find lost riches, but instead they disturb the tomb of Imhotep, and soon the cursed priest rises from his grave to wreck vengeance on humanity. The Mummy was written and directed by Stephen Sommers, whose previous cinematic journeys into the past include The Jungle Book and The Adventures Of Huck Finn. ~ Mark Deming, Rovi
            ","PG-13 (for pervasive adventure violence and some partial nudity)
                    ",Stephen Sommers,NA,NA,Stephen Sommers,NA,NA,NA,"Jun 1, 1999
                        ","Sep 28, 1999
                        ","
                            125 minutes
                        ","
                        Universal Pictures
                    ","
                Brendan Fraser
            ","
                Rachel Weisz
            ","
                John Hannah
            ","
                Arnold Vosloo
            ","
                Patricia Velasquez
            ","
                Kevin J. O'Connor
            ","
                                The Mummy
                            ",1999,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","
                        
                        Action & Adventure, 
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",60,97,75,946,141752,5.83,5.41,22,3.79,37251,12438,26509,https://www.rottentomatoes.com/m/1087270-mummy
"
                A space-time continuum glitch allows Vera to save a boy's life 25 years earlier, but results in the loss of her daughter, whom she fights to get back.
            ","NR
                    ",Oriol Paulo,NA,NA,Lara Sendim,Oriol Paulo,NA,NA,"Mar 22, 2019
                        ","
                            129 minutes
                        ",NA,"
                        Netflix
                    ","
                Adriana Ugarte
            ","
                Chino Darn
            ","
                Nora Navas
            ","
                Ruth Llopis
            ","
                Aina Clotet
            ","
                Miquel Fernndez
            ",Mirage (Durante la tormenta),NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",75,8,74,213,132165,5.81,0,1,3.87,145,50,37,https://www.rottentomatoes.com/m/mirage_2019
"
                Propelled into the path of an oncoming train by a nightmarish creature that stalks the darkness, an ordinary American finds himself forced to die a new death every day until he can solve the mystery of his own life in this installment of the 2007 After Dark Horrorfest. As the speeding lights rushed toward him, Ian Stone thought he was experiencing his last moments. Having inexplicably survived the frightening incident, Ian is born into a new existence that is completely different despite the fact that he still feels strangely familiar. Soon enough, Ian is thrown into the clutches of death yet again. Upon realizing that he is being stalked by a strange supernatural presence and that he will die a new death every day until he unlocks the lingering secrets of his own life, Ian Stone attempts to thwart death long enough to uncover the hidden truth about his own identity.
            ","R (for violence, some drug content and brief language)
                    ",Dario Piana,Dario Plana,NA,Brendan Hood,NA,NA,NA,"Nov 9, 2007
                        ","Mar 18, 2008
                        ","
                            87 minutes
                        ","
                        After Dark Films
                    ","
                Mike Vogel
            ","
                Jaime Murray
            ","
                Christina Cole
            ","
                Michael Feast
            ","
                Jamie Murray
            ","
                Charlie Anson
            ",The Deaths of Ian Stone,NA,No consensus yet.,"
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",57,7,34,5,132062,6,2.5,1,2.81,588,1123,530,https://www.rottentomatoes.com/m/deaths_of_ian_stone
"
                This second of MGM's Thin Man films reteams William Powell and Myrna Loy as, respectively, bibulous private detective Nick Charles and his socialite wife Nora. The Charleses are sucked into another murder case via Nick's lovely cousin Elissa Landi, whose husband Alan Marshall has vanished. Hubby has been conducting an affair with nightclub thrush Dorothy McNulty (later known as Penny Singleton) and is also blackmailing gangsterish Joseph Calleia. When the corpses begin piling up, Nick and Nora try to piece the clues together, with the earnest assistance of Jimmy Stewart, who carries a torch for Landi. You won't believe who turns out to be the murderer in this one--then again, given the plot's strict adherence to ""least likely suspect"" formula, you probably will.
            ","NR
                    ",W.S. Van Dyke,NA,NA,Albert Hackett,Frances Goodrich,NA,NA,"Dec 25, 1936
                        ","Aug 2, 2005
                        ","
                            113 minutes
                        ","
                        MGM Home Entertainment
                    ","
                William Powell
            ","
                Myrna Loy
            ","
                James Stewart
            ","
                Elissa Landi
            ","
                Joseph Calleia
            ","
                Jessie Ralph
            ","
                                After the Thin Man
                            ",1936,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",100,20,90,4,135426,7.65,8,4,4.18,707,80,514,https://www.rottentomatoes.com/m/after_the_thin_man
"
                Al Pacino stars as Tony Montana, an exiled Cuban criminal who goes to work for Miami drug lord Robert Loggia. Montana rises to the top of Florida's crime chain, appropriating Loggia's cokehead mistress (Michelle Pfeiffer) in the process. Howard Hawks' ""X Marks the Spot"" motif in depicting the story line's many murders is dispensed with in the 1983 Scarface; instead, we are inundated with blood by the bucketful, especially in the now-infamous buzz saw scene. One carry-over from the original Scarface is Tony Montana's incestuous yearnings for his sister Gina (Mary Elizabeth Mastrantonio). The screenplay for the 1983 Scarface was written by Oliver Stone. ~ Hal Erickson, Rovi
            ","R
                    ",Brian DePalma,NA,NA,Oliver Stone,NA,NA,NA,"Dec 9, 1983
                        ","Sep 30, 2003
                        ","
                            170 minutes
                        ","
                        Universal Films
                    ","
                Al Pacino
            ","
                Steven Bauer
            ","
                Michelle Pfeiffer
            ","
                Mary Elizabeth Mastrantonio
            ","
                Robert Loggia
            ","
                Miriam Colon
            ","
                                Scarface
                            ",1983,"Director Brian De Palma and star Al Pacino take it to the limit in this stylized, ultra-violent and eminently quotable gangster epic that walks a thin white line between moral drama and celebratory excess.","
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",81,70,94,488,141721,7.44,7.67,15,4.48,90527,6302,73935,https://www.rottentomatoes.com/m/scarface
"
                A detective tracking a serial killer who preys on young women finds his investigation complicated by a glamorous Hollywood starlet and a ruthless crime kingpin in director Bertrand Tavernier's adaptation of the James Lee Burke novel In the Electric Mist with Confederate Dead. Jerzy Kromolowski, Mary Olson-Kromolowski, and Tommy Lee Jones collaborate on the screenplay for the film, which stars Jones, John Goodman, Peter Sarsgaard, Ned Beatty, and Tom Sizemore.
            ","R (for violence, language and brief sexuality/nudity)
                    ",Bertrand Tavernier,NA,NA,Mary Olson-Kromolowski,Jerzy Kromolowski,Tommy Lee Jones,Marco Beltrami,"Mar 3, 2009
                        ","Mar 3, 2009
                        ","
                            117 minutes
                        ","
                        Image Entertainment
                    ","
                Tommy Lee Jones
            ","
                John Goodman
            ","
                Ned Beatty
            ","
                Kelly Macdonald
            ","
                Buddy Guy
            ","
                Peter Sarsgaard
            ","
                                In the Electric Mist
                            ",2009,No consensus yet.,"
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",58,12,34,60,135941,5.91,2.5,1,2.86,616,1217,15925,https://www.rottentomatoes.com/m/in_the_electric_mist
"
                When a deadly zombie virus sweeps the nation, a father will stop at nothing to save his infected daughter in this post-apocalyptic thriller starring Arnold Schwarzenegger and Abigail Breslin. (C) Official Facebook
            ","PG-13 (for disturbing thematic material including bloody images, and some language)
                    ",Henry Hobson,NA,NA,John Scott 3,NA,NA,NA,"May 8, 2015
                        ","Jul 7, 2015
                        ","
                            95 minutes
                        ","
                        Lionsgate Films
                    ","
                Arnold Schwarzenegger
            ","
                Abigail Breslin
            ","
                Joely Richardson
            ","
                Douglas M. Griffin
            ","
                J.D. Evermore
            ","
                Rachel Whitman Groves
            ","
                                Maggie
                            ",2015,"Maggie lurches a bit clumsily at times, but is partially redeemed by strong performances and an unexpectedly thoughtful tone.","
                        
                        Drama, 
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",60,134,32,11,135864,5.77,5.18,33,2.79,1358,2931,6548,https://www.rottentomatoes.com/m/maggie_2015
"
                When Thomas wakes up trapped in a massive maze with a group of other boys, he has no memory of the outside world other than strange dreams about a mysterious organization known as W.C.K.D. Only by piecing together fragments of his past with clues he discovers in the maze can Thomas hope to uncover his true purpose and a way to escape. Based upon the best-selling novel by James Dashner. (c) Fox
            ","PG-13 (for thematic elements and intense sequences of sci-fi violence and action, including some disturbing images)
                    ",Wes Ball,NA,NA,Noah Oppenheim,Grant Pierce Myers,T.S. Nowlin,NA,"Sep 19, 2014
                        ","Dec 16, 2014
                        ","
                            114 minutes
                        ","
                        20th Century Fox
                    ","
                Dylan O'Brien
            ","
                Kaya Scodelario
            ","
                Will Poulter
            ","
                Aml Ameen
            ","
                Thomas Sangster
            ","
                Ki Hong Lee
            ",The Maze Runner,NA,"With strong acting, a solid premise, and a refreshingly dark approach to its dystopian setting, The Maze Runner stands out from the crowded field of YA sci-fi adventures.","
                        
                        Action & Adventure, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",65,170,68,94,141665,5.9,5.8,42,3.66,29342,14010,47919,https://www.rottentomatoes.com/m/the_maze_runner
"
                This quintessential film noir made contract player Robert Mitchum a star and set the standard for the genre for years to come. Private eye Jeff Bailey (Robert Mitchum) is hired by notorious gangster Whit Sterling (Kirk Douglas) to find his mistress, Kathie Moffett (Jane Greer), who shot him and ran off with $40,000. Jeff traces Kathie to Mexico, but when he meets her he falls in love and willingly becomes involved in an increasingly complicated web of double-crosses, blackmail, and murder. Directed with supreme skill by Jacques Tourneur and brilliantly photographed by Nicholas Musuraca, this is an unrelentingly gloomy film set in a dark world of greed and deceit where love is used to trap the gullible. It was here that Mitchum created what became his characteristic screen persona: the droopy-eyed cynic who accepts fate with a studied nonchalance. Jane Greer is equally superb, perfecting the role of the femme fatale with a combination of erotic fire and cool detachment. Her first appearance in the film, in silhouette as she enters a dark cantina from the bright sunlight, is one of the great entrances in film history. A seminal genre film, certainly among the greatest whose influence is still felt today. Out of the Past was remade as the distinctly inferior Against All Odds.
            ","NR
                    ",Jacques Tourneur,NA,NA,Daniel Mainwaring,NA,NA,NA,"Nov 13, 1947
                        ","Jul 6, 2004
                        ","
                            97 minutes
                        ","
                        WARNER BROTHERS PICTURES
                    ","
                Robert Mitchum
            ","
                Jane Greer
            ","
                Kirk Douglas
            ","
                Rhonda Fleming
            ","
                Richard Webb
            ","
                Steve Brodie
            ","
                                Out of the Past
                            ",1947,"Anchored by a wistful Robert Mitchum, Out of the Past is an exemplary noir steeped in doom and sensuality.","
                        
                        Classics, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",94,36,92,8,132513,8.97,9.17,9,4.27,1857,162,1110,https://www.rottentomatoes.com/m/out_of_the_past
"
                AFTER THE DARK is set at an international school in Jakarta, where a philosophy teacher (D'Arcy) challenges his class of twenty students to a final thought experiment. Faced with an impending nuclear apocalypse, they must determine which ten of them would take shelter underground and reboot the human race. The decision quickly becomes deadly as each in the group turns against each other in a desperate fight for survival that blurs the lines between theory and reality. (c) Phase 4
            ","R (for some violence, sexuality and brief drug use)
                    ",John Huddles,NA,NA,John Huddles,NA,NA,NA,"Feb 7, 2014
                        ","May 6, 2014
                        ","
                            107 minutes
                        ","
                        Phase 4 Films
                    ","
                James D'Arcy
            ","
                Bonnie Wright
            ","
                Freddie Stroma
            ","
                Daryl Sabara
            ","
                Sophie Lowe
            ","
                Rhys Wakefield
            ","
                                After the Dark
                            ",2014,No consensus yet.,"
                        
                        Drama, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",71,14,44,5,135459,5.85,0,4,2.98,692,895,3258,https://www.rottentomatoes.com/m/after_the_dark
