description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                On the morning of May 14th, 2018, Airbus flight A319 is thrown into a state of panic when the cockpit windshield shatters after takeoff. Cabin temperatures plummet, passengers are losing consciousness, and all communication to control is lost. Heading into an enormous storm with the co-pilot sucked halfway out of the cockpit window, the plane's strong-willed Captain, Liu Chuan Jian, is determined to bring everyone home safely.
            ","NR
                    ",Wai-keung Lau,NA,NA,NA,NA,NA,NA,"Oct 18, 2019
                        ","Mar 31, 2020
                        ","
                            110 minutes
                        ","
                        Well Go USA Entertainment
                    ","
                Shu Chen (II) 
            ","
                Hanyu Zhang
            ","
                Du Jiang
            ","
                Li Qin
            ",NA,NA,The Captain,NA,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Drama
                        
                    ",75,8,96,55,134605,5.45,6,2,4.24,77,13,178,https://www.rottentomatoes.com/m/the_captain_2019
"
                A suspenseful adventure thriller directed by Academy Award winner Kevin Macdonald, centering on a rogue submarine captain (two-time Academy Award nominee Jude Law) who pulls together a misfit crew to go after a sunken treasure rumored to be lost in the depths of the Black Sea. As greed and desperation take control onboard their claustrophobic vessel, the increasing uncertainty of the mission causes the men to turn on each other to fight for their own survival. (C) Focus
            ","R (for language throughout, some graphic images and violence)
                    ",Kevin Macdonald,NA,NA,Dennis Kelly,NA,NA,NA,"Jan 23, 2015
                        ","May 5, 2015
                        ","
                            115 minutes
                        ","
                        Focus Features
                    ","
                Jude Law
            ","
                Scoot McNairy
            ","
                Ben Mendelsohn
            ","
                David Threlfall
            ","
                Karl Davies
            ","
                Michael Smiley
            ","
                                Black Sea
                            ",2015,"Black Sea may not be particularly deep, but thanks to Kevin Macdonald's judicious direction and a magnetic performance from Jude Law, it remains an efficiently well-crafted thriller.","
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",80,136,59,16,137027,6.52,6.77,37,3.39,2124,1500,11524,https://www.rottentomatoes.com/m/black_sea
"
                Though Rudyard Kipling's poem Gunga Din makes a swell recital piece, it cannot be said to have much of a plot. It's simply a crude cockney soldier's tribute to a native Indian water boy who remains at his job even after being mortally wounded. Hardly the sort of material upon which to build 118 minutes' worth of screen time-at least, it wasn't until RKO producer Pandro S. Berman decided to convert Gunga Din into an A-budgeted feature film. Now it became the tale of three eternally brawling British sergeants stationed in colonial India: Cutter (Cary Grant), McChesney (Victor McLaglen) and Ballantine (Douglas Fairbanks Jr.). Ballantine intends to break up the threesome by marrying lovely Emmy Stebbins (Joan Fontaine), while Cutter and McChesney begin hatching diabolical schemes to keep Ballantine in the army (if this plot element sounds a lot like something from the Ben Hecht and Charles MacArthur play The Front Page, bear in mind that Hecht and McArthur shared writing credit on Gunga Din with Joel Sayre and Fred Guiol; also contributing to the screenplay, uncredited, was William Faulkner). All three sergeants are kept occupied with a native revolt fomented by the Thuggees, a fanatical religious cult headed by a Napoleonic Guru (Eduardo Ciannelli). Unexpectedly coming to the rescue of our three heroes-not to mention every white man, woman and child in the region-is humble water carrier Gunga Din (Sam Jaffe), who aspires to become the regimental trumpeter. Originally slated to be directed by Howard Hawks, Gunga Din was taken out of Hawks' hands when the director proved to be too slow during the filming of Bringing Up Baby. His replacement was George Stevens, who proved to be slower and more exacting than Hawks had ever been!
            ","PG
                    ",George Stevens,NA,NA,Joel Sayre,Fred Guiol,William Faulkner,NA,"Feb 17, 1939
                        ","Dec 7, 2004
                        ","
                            117 minutes
                        ","
                        Turner Home Entertainment
                    ","
                Cary Grant
            ","
                Victor McLaglen
            ","
                Douglas Fairbanks Jr.
            ","
                Sam Jaffe
            ","
                Eduardo Ciannelli
            ","
                Joan Fontaine
            ","
                                Gunga Din
                            ",1939,"Funny, suspenseful, and spectacularly entertaining, Gunga Din is an expertly calibrated adventure flick with some unfortunately outdated ideas about race.","
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",92,26,74,6,137437,7.99,7.5,2,3.85,610,210,770,https://www.rottentomatoes.com/m/gunga_din
"
                Lower-class business student JW (Joel Kinnaman) falls in love with a sexy heiress while living a double life mingling with Stockholm's wealthy elite. To keep up the faade of his lifestyle, he's lured into a world of crime. Jorge is a petty fugitive on the run from both the police and Serbian mafia. He hopes that brokering a massive cocaine deal will allow him to escape for good. Mafia enforcer Mrado is on the hunt for Jorge, but his efforts are complicated when he's unexpectedly saddled with caring for his young daughter. As JW's journey ventures deeper into the dark world of organized crime, the fate of all three men becomes entangled and ends with a dramatic struggle for life and death. -- (C) Weinstein
            ","R (for strong violence, pervasive language, drug content and some sexuality)
                    ",Daniel Espinosa,NA,NA,Maria Karlsson,Hassan Loo Sattarvandi,Fredrik Wikstrm,Daniel Espinosa,"Jul 11, 2012
                        ","Mar 26, 2013
                        ","
                            125 minutes
                        ","
                        The Weinstein Company
                    ","
                Joel Kinnaman
            ","
                Mattias Padin Varela
            ","
                Dragomir Mrsic
            ","
                Dejan Cukic
            ","
                Lisa Henni
            ","
                Annika Ryberg Whittembury
            ","
                                Snabba cash (Easy Money)
                            ",2012,Snabba Cash (Easy Money) cuts a cube of Nordic noir whose taut storytelling packs an extra dose of hard-hitting heft.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",86,69,63,6,138511,7.05,7.3,32,3.47,586,347,2911,https://www.rottentomatoes.com/m/snabba_cash_2012
"
                The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, ""Avengers: Endgame.""
            ","PG-13 (for sequences of sci-fi violence and action, and some language)
                    ",Joe Russo,Anthony Russo,NA,Christopher Markus,Stephen McFeely,NA,NA,"Apr 26, 2019
                        ","Jul 30, 2019
                        ","
                            182 minutes
                        ","
                        Marvel Studios
                    ","
                Robert Downey Jr.
            ","
                Mark Ruffalo
            ","
                Scarlett Johansson
            ","
                Chris Evans
            ","
                Chris Hemsworth
            ","
                Chris Pratt
            ",Avengers: Endgame,NA,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.","
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",94,505,90,69,142711,8.24,7.7,57,4.5,51769,5608,32748,https://www.rottentomatoes.com/m/avengers_endgame
"
                Charles Laughton plays an 18th-century pirate who takes advantage of the king of England and finds himself wanted by the king's men. This adventure also features Randolph C. Scott, John Carradine, Sheldon Leonard, John Qualen and Gilbert Roland among others.
            ","G
                    ",Rowland V. Lee,NA,NA,Norman Reilly Raine,NA,NA,NA,"Jan 1, 1945
                        ","May 22, 2001
                        ","
                            83 minutes
                        ","
                        United Artists
                    ","
                Charles Laughton
            ","
                Randolph Scott
            ","
                Barbara Britton
            ","
                Gilbert Roland
            ","
                Reginald Owen
            ","
                John Carradine
            ",Captain Kidd,NA,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama
                        
                    ",100,5,47,2,133139,6,0,1,3.19,31,36,113,https://www.rottentomatoes.com/m/captain_kidd
"
                Disney's The Journey of Natty Gann stars Meredith Salenger in the title role. During the Depression, Natty's father (Ray Wise) takes a job in a Northwestern lumber camp, leaving his daughter behind in Chicago with the promise that he'll send for her when he's put together enough money. Unwilling to wait that long, Natty runs away from her guardian (Lainie Kazan) and hops a freight bound for her dad's camp. In addition to the human friends she accrues along the way, including vagabond John Cusack and tough-but-nice juvenile delinquent Barry Miller, Natty is protected on her journey by a friendly wolf (actually a dog, but you try training a wolf). Journey of Natty Gann stretches its ""PG"" rating as far as possible, but it's still safe and sane entertainment for the younger crowd.
            ","PG
                    ",Jeremy Kagan,NA,NA,Andrew Bergman,Jeanne Rosenberg,NA,NA,"Sep 27, 1985
                        ","May 21, 2002
                        ","
                            101 minutes
                        ","
                        Walt Disney Productions
                    ","
                Meredith Salenger
            ","
                John Cusack
            ","
                Ray Wise
            ","
                Scatman Crothers
            ","
                Lainie Kazan
            ","
                Barry Miller
            ","
                                The Journey of Natty Gann
                            ",1985,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Kids & Family
                        
                    ",90,31,78,6,133716,7.13,7.5,12,3.87,439,127,727,https://www.rottentomatoes.com/m/journey_of_natty_gann
"
                Acclaimed account of an orphaned grizzly cub and a wounded Kodiak bear that join forces in their struggle for survival in 1885 Canada.
            ","PG (violence)
                    ",Jean-Jacques Annaud,NA,NA,Grard Brach,NA,NA,NA,"Oct 25, 1989
                        ","Mar 7, 2000
                        ","
                            96 minutes
                        ","
                        Sony Pictures Home Entertainment
                    ","
                Tcheky Karyo
            ","
                Douce the Bear
            ","
                Bart the Bear
            ","
                Jack Wallace
            ","
                Doc the Bear
            ","
                Griz the Bear
            ","
                                The Bear
                            ",1989,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Kids & Family
                        
                    ",93,14,82,8,135084,7.62,6.25,4,3.99,989,222,824,https://www.rottentomatoes.com/m/the_bear_1989
"
                The return of director Terrence Malick to feature filmmaking after a twenty year sabbatical, this World War II drama is an elegiac rumination on man's destruction of nature and himself, based on James Jones' semi-autobiographical novel, his follow-up to From Here to Eternity. James Caviezel stars as Private Witt, a deserter living in peace and harmony with the natives of a Pacific island paradise. Captured by the Navy, Witt is debriefed by a senior officer (Sean Penn) and returned to an active duty unit preparing for what will be the Battle of Guadalcanal. As Witt goes ashore in the company of his fellow soldiers, they meet diverse fates. Sergeant Keck (Woody Harrelson) is killed by an exploding grenade. Captain John Gaff (John Cusack) is an intelligent, sober leader facing the destruction of his command because his commanding officer Colonel Tall (Nick Nolte) is bucking for a general's star. Sergeant McCron (John Savage) loses his mind. Private Bell (Ben Chaplin) gets a ""Dear John"" letter from his beloved wife. However, as the U.S. troops advance up grassy slopes toward entrenched Japanese positions, it is Witt's voiced-over ruminations on life, death, and nature that are the real heart and soul of The Thin Red Line (1998). Adrien Brody appears as Private Fife, the major character of Jones' novel and the author's alter-ego, although Fife has been relegated to a minor supporting role by Malick's filmed adaptation. ~ Karl Williams, Rovi
            ","R (for realistic war violence and language)
                    ",Terrence Malick,NA,NA,Terrence Malick,NA,NA,NA,"Dec 23, 1998
                        ","Nov 2, 1999
                        ","
                            180 minutes
                        ","
                        20th Century Fox
                    ","
                Jim Caviezel
            ","
                Ben Chaplin
            ","
                Elias Koteas
            ","
                Sean Penn
            ","
                Nick Nolte
            ","
                Adrien Brody
            ","
                                The Thin Red Line
                            ",1998,The Thin Red Line is a daringly philosophical World War II film with an enormous cast of eager stars.,"
                        
                        Action & Adventure, 
                        
                        Drama
                        
                    ",80,99,80,148,135596,7.25,7.5,27,3.97,14354,3594,28723,https://www.rottentomatoes.com/m/1084146-thin_red_line
"
                In 19th Century Java, a brutal massacre and the murder of Sultan Hamza by Captain Van Trach and his Dutch soldiers force Arana, Jamar and Suwo -- the sultan's brother and infant sons -- to flee the country, bringing them halfway around the world to the American Wild West. After working the railroads and learning the cowboy way of life, Arana tells the boys it's time to return to their homeland and avenge their father's death. Back on Indonesian soil, the hunt for their father's killer begins. Along the way, they meet some villagers including Kiona, the rebellious and beautiful headman's daughter who Suwo falls for, and soon find out that the treacherous Van Trach still rules the area. Their presence puts the village in danger, quickly turning their quest for revenge into a fight for freedom. With the odds stacked against them, Arana, Jamar and Suwo use the skills they learned from the wilds of America to face Van Trach and his army in a showdown for justice.
            ","NR
                    ",Mike Wiluan,NA,NA,Mike Wiluan,Raymond Lee,Rayya Makarim,NA,"Jan 11, 2019
                        ","Jan 11, 2019
                        ","
                            103 minutes
                        ","
                        Samuel Goldwyn Films
                    ","
                Yoshi Sudarso
            ","
                Ario Bayu
            ","
                Pevita Pearce
            ","
                Tio Pakusadewo
            ","
                Reinout Bussemaker
            ","
                Daniel Adnan
            ",Buffalo Boys,NA,"It's hampered somewhat by its disappointingly familiar story, but Buffalo Boys makes up for its shortcomings with plenty of exciting action sequences.","
                        
                        Action & Adventure, 
                        
                        Art House & International
                        
                    ",79,33,43,101,132705,6.07,6.12,7,2.93,9,12,90,https://www.rottentomatoes.com/m/buffalo_boys_2019
